Sample DMT-915-170206-MOSAIC.  Wed Feb 08 10:34:38 PST 2017

Apparent R'max,,,,,,Apparent R'min,,,,,,Apparent R'bi,,,,,,Apparent anisotropy (R'bi/R'max),
mean:,6.674,,,,,mean:,4.475,,,,,mean:,2.198,,,,,mean:,0.315
mode:,6.650,,,,,mode:,4.050,,,,,mode:,0.350,,,,,mode:,0.240
s.d.:,1.408,,,,,s.d.:,1.253,,,,,s.d.:,1.459,,,,,s.d.:,0.173

Apparent R'max, frequency (whole), frequency (binder excl), frequency %, cumulative probability, _,Apparent R'min, frequency (whole), frequency (binder excl), frequency %, cumulative probability, _,Apparent R'bi, frequency (whole), frequency (binder excl), frequency %, cumulative probability, _,Apparent anisotropy (R'bi/R'max), frequency (whole), frequency (binder excl), frequency %, cumulative probability, _,
5.900, 26287820, 23842278, 2.5182231115394704, 32.72844514079429,,5.900, 13347082, 11679049, 1.233540586822147, 89.93902947835625 ,,5.900, 1873280, 1862444, 0.1967112444049917, 98.20947988956944 ,,0.230, 13372539, 7437952, 0.7855961273169001, 37.102208145833536 ,,
6.000, 27289241, 24905346, 2.630504429907541, 35.35894957070183,,6.000, 11881553, 10352489, 1.093429384201558, 91.03245886255782 ,,6.000, 1696507, 1686727, 0.1781520234388247, 98.38763191300826 ,,0.234, 13064156, 7438541, 0.7856583374681608, 37.8878664833017 ,,
6.100, 28166789, 25852878, 2.7305828276731914, 38.08953239837502,,6.100, 10653978, 9255966, 0.9776146783223395, 92.01007354088016 ,,6.100, 1539248, 1530578, 0.1616595736778681, 98.54929148668613 ,,0.238, 12789655, 7448191, 0.7866775699973043, 38.674544053299 ,,
6.200, 28749746, 26533576, 2.8024781992303343, 40.892010597605356,,6.200, 9539291, 8272075, 0.8736961587999855, 92.88376969968013 ,,6.200, 1391910, 1384104, 0.14618899694483517, 98.69548048363097 ,,0.242, 12523366, 7445789, 0.786423870874506, 39.46096792417351 ,,
6.300, 29247628, 27153610, 2.867966234758662, 43.75997683236402,,6.300, 8550075, 7395972, 0.7811622025903109, 93.66493190227045 ,,6.300, 1258590, 1251586, 0.13219245225084134, 98.82767293588181 ,,0.246, 12270587, 7445850, 0.7864303136915297, 40.24739823786504 ,,
6.400, 29483432, 27525498, 2.907245071978167, 46.667221904342185,,6.400, 7572331, 6507612, 0.68733366263733, 94.35226556490778 ,,6.400, 1136325, 1130218, 0.11937357001280087, 98.9470465058946 ,,0.250, 12036074, 7442819, 0.7861101796194225, 41.03350841748446 ,,
6.500, 29577789, 27749650, 2.9309200222869336, 49.59814192662912,,6.500, 6666475, 5679442, 0.5998623875541877, 94.95212795246196 ,,6.500, 1026793, 1021250, 0.10786437516972203, 99.05491088106433 ,,0.254, 11805662, 7436042, 0.7853943932100955, 41.81890281069456 ,,
6.600, 29467629, 27774804, 2.9335767895701466, 52.531718716199265,,6.600, 5866191, 4951177, 0.522943073707484, 95.47507102616945 ,,6.600, 926141, 921218, 0.0972990002106252, 99.15220988127496 ,,0.258, 11601204, 7439911, 0.7858030368013138, 42.60470584749587 ,,
6.700, 29135768, 27572720, 2.912232663003367, 55.44395137920263,,6.700, 5194962, 4349878, 0.459433902599839, 95.93450492876929 ,,6.700, 836884, 832539, 0.0879327285575767, 99.24014260983253 ,,0.262, 11397195, 7429352, 0.7846877957365235, 43.389393643232395 ,,
6.800, 28538854, 27098291, 2.8621234380130134, 58.306074817215645,,6.800, 4628143, 3842609, 0.40585617551463854, 96.34036110428393 ,,6.800, 754593, 750699, 0.07928879175083, 99.31943140158336 ,,0.266, 11205923, 7419085, 0.7836033956974855, 44.17299703892988 ,,
6.900, 27728567, 26400140, 2.7883846793447185, 61.09445949656037,,6.900, 4151833, 3420409, 0.3612634320681207, 96.70162453635204 ,,6.900, 678738, 675340, 0.07132937784785319, 99.39076077943122 ,,0.270, 11027990, 7417129, 0.7833968030729255, 44.956393842002804 ,,
7.000, 26774535, 25543173, 2.697871763371394, 63.79233125993176,,7.000, 3736128, 3053432, 0.3225033391932444, 97.02412787554529 ,,7.000, 611200, 608169, 0.06423478010535585, 99.45499555953657 ,,0.273, 10852058, 7408790, 0.7825160382998138, 45.73890988030262 ,,
7.100, 25732337, 24592318, 2.5974423901075276, 66.38977365003929,,7.100, 3373324, 2732697, 0.2886273241072215, 97.31275519965251 ,,7.100, 550890, 548224, 0.057903392130277294, 99.51289895166686 ,,0.277, 10682712, 7387487, 0.78026601647926, 46.51917589678188 ,,
7.200, 24611678, 23555610, 2.4879452168291247, 68.8777188668684,,7.200, 3044665, 2450137, 0.2587833506627684, 97.57153855031528 ,,7.200, 495900, 493543, 0.052127987578350174, 99.5650269392452 ,,0.281, 10523541, 7376175, 0.779071243591211, 47.29824714037309 ,,
7.300, 23487205, 22511022, 2.3776157573858283, 71.25533462425425,,7.300, 2761380, 2207570, 0.23316343593138167, 97.80470198624666 ,,7.300, 448024, 445808, 0.04708621920750398, 99.6121131584527 ,,0.285, 10368687, 7359759, 0.7773373864722039, 48.0755845268453 ,,
7.400, 22330688, 21426289, 2.2630461801646606, 73.5183808044189,,7.400, 2499738, 1988565, 0.21003213849295288, 98.01473412473962 ,,7.400, 403275, 401426, 0.042398594533053446, 99.65451175298575 ,,0.289, 10223674, 7348018, 0.7760973026250874, 48.85168182947038 ,,
