Sample DMT-916-170112-MOSAIC.  Mon Jan 16 12:51:21 PST 2017

Apparent R'max,,,,,,Apparent R'min,,,,,,Apparent R'bi,,,,,,Apparent anisotropy (R'bi/R'max),
mean:,7.602,,,,,mean:,4.229,,,,,mean:,3.373,,,,,mean:,0.430
mode:,7.550,,,,,mode:,3.550,,,,,mode:,2.950,,,,,mode:,0.537
s.d.:,1.431,,,,,s.d.:,1.442,,,,,s.d.:,1.801,,,,,s.d.:,0.192

Apparent R'max, frequency (whole), frequency (binder excl), frequency %, cumulative probability, _,Apparent R'min, frequency (whole), frequency (binder excl), frequency %, cumulative probability, _,Apparent R'bi, frequency (whole), frequency (binder excl), frequency %, cumulative probability, _,Apparent anisotropy (R'bi/R'max), frequency (whole), frequency (binder excl), frequency %, cumulative probability, _,
3.100, 16684635, 0, 0.0, 0.0,,3.100, 44557830, 34432438, 2.730924182248651, 26.226283550298753 ,,3.100, 25210183, 25040972, 1.9860630831604176, 48.89762026008495 ,,0.121, 114101581, 4835781, 0.38353807201847306, 7.328739913762873 ,,
3.200, 14969036, 0, 0.0, 0.0,,3.200, 43924236, 34975993, 2.7740349109714377, 29.00031846127019 ,,3.200, 25066700, 24910466, 1.9757123208684853, 50.87333258095343 ,,0.125, 106364253, 4865036, 0.3858583603642233, 7.714598274127097 ,,
3.300, 13545885, 0, 0.0, 0.0,,3.300, 43276993, 35350727, 2.803756017054915, 31.804074478325106 ,,3.300, 24878769, 24731504, 1.9615183901581057, 52.834850971111536 ,,0.129, 98581366, 4891434, 0.3879520527843605, 8.102550326911457 ,,
3.400, 12419896, 0, 0.0, 0.0,,3.400, 42513356, 35519314, 2.8171270805594153, 34.62120155888452 ,,3.400, 24670358, 24530472, 1.945574031698941, 54.78042500281048 ,,0.133, 90927640, 4925152, 0.3906263129943078, 8.493176639905764 ,,
3.500, 11481351, 0, 0.0, 0.0,,3.500, 41756427, 35579415, 2.8218938436412895, 37.44309540252581 ,,3.500, 24411832, 24279789, 1.9256917263365172, 56.706116729147 ,,0.137, 83451716, 4954327, 0.39294025633689067, 8.886116896242655 ,,
3.600, 10751341, 0, 0.0, 0.0,,3.600, 40929324, 35507902, 2.8162219658310357, 40.25931736835685 ,,3.600, 24132627, 24008411, 1.904168047967247, 58.610284777114245 ,,0.141, 76387642, 4984054, 0.3952979802013281, 9.281414876443984 ,,
3.700, 10148223, 0, 0.0, 0.0,,3.700, 40064319, 35335213, 2.802525562279584, 43.06184293063643 ,,3.700, 23826907, 23709683, 1.880475171640148, 60.490759948754395 ,,0.145, 69739939, 5013796, 0.39765689375385943, 9.679071770197842 ,,
3.800, 9655931, 0, 0.0, 0.0,,3.800, 39139974, 35062081, 2.7808627690801613, 45.84270569971659 ,,3.800, 23461330, 23349755, 1.8519283678900473, 62.34268831664444 ,,0.148, 63571158, 5050710, 0.40058463684034123, 10.079656407038184 ,,
3.900, 9219528, 0, 0.0, 0.0,,3.900, 38228229, 34745216, 2.755731400484995, 48.598437100201586 ,,3.900, 23070097, 22964748, 1.8213924849595309, 64.16408080160397 ,,0.152, 57919563, 5078848, 0.4028163330793677, 10.48247274011755 ,,
4.000, 8832759, 0, 0.0, 0.0,,4.000, 37211798, 34319853, 2.7219947797166997, 51.32043187991829 ,,4.000, 22661159, 22561740, 1.7894288970038272, 65.9535096986078 ,,0.156, 52755107, 5114259, 0.4056248694188434, 10.888097609536395 ,,
