Sample DMT-917-170109-MOSAIC.  Wed Jan 11 14:56:24 PST 2017

Apparent R'max,,,,,,Apparent R'min,,,,,,Apparent R'bi,,,,,,Apparent anisotropy (R'bi/R'max),
mean:,8.263,,,,,mean:,4.140,,,,,mean:,4.123,,,,,mean:,0.482
mode:,7.950,,,,,mode:,2.250,,,,,mode:,3.150,,,,,mode:,0.650
s.d.:,1.975,,,,,s.d.:,1.900,,,,,s.d.:,2.325,,,,,s.d.:,0.219

Apparent R'max, frequency (whole), frequency (binder excl), frequency %, cumulative probability, _,Apparent R'min, frequency (whole), frequency (binder excl), frequency %, cumulative probability, _,Apparent R'bi, frequency (whole), frequency (binder excl), frequency %, cumulative probability, _,Apparent anisotropy (R'bi/R'max), frequency (whole), frequency (binder excl), frequency %, cumulative probability, _,
5.200, 9605827, 8914424, 0.7940700500534202, 5.877680192877122,,5.200, 20901167, 20548787, 1.830424076937228, 77.06706464792686 ,,5.200, 14380423, 14326212, 1.2761358310885718, 69.49106903551017 ,,0.203, 20592846, 4138078, 0.3686605788826475, 14.716308839868862 ,,
5.300, 10820637, 10152042, 0.9043133352288857, 6.781993528106008,,5.300, 19383700, 19075684, 1.699204496968422, 78.76626914489528 ,,5.300, 14095028, 14044014, 1.2509984829004022, 70.74206751841056 ,,0.207, 19824647, 4160143, 0.37062634551948853, 15.08693518538835 ,,
5.400, 12437093, 11785640, 1.049829326573606, 7.831822854679614,,5.400, 17888788, 17609109, 1.56856641158488, 80.33483555648016 ,,5.400, 13804965, 13756488, 1.2253865325139655, 71.96745405092453 ,,0.211, 19116855, 4175618, 0.3720050103146444, 15.458940195702995 ,,
5.500, 13710907, 13093069, 1.1662911654396162, 8.99811402011923,,5.500, 16434329, 16178960, 1.4411730446086346, 81.77600860108879 ,,5.500, 13509154, 13462549, 1.1992033313960186, 73.16665738232055 ,,0.215, 18443628, 4194588, 0.3736950439924542, 15.832635239695449 ,,
5.600, 14604402, 14023059, 1.2491318745924656, 10.247245894711696,,5.600, 15238353, 15003162, 1.3364364989033024, 83.1124450999921 ,,5.600, 13217971, 13174321, 1.1735288489631888, 74.34018623128374 ,,0.219, 17810327, 4213740, 0.3754012920155123, 16.208036531710963 ,,
5.700, 15134794, 14587445, 1.299405680198913, 11.546651574910609,,5.700, 13991794, 13778777, 1.2273719695254472, 84.33981706951754 ,,5.700, 12917743, 12876289, 1.1469810557285927, 75.48716728701233 ,,0.223, 17207189, 4234404, 0.37724224382986454, 16.585278775540825 ,,
5.800, 15461589, 14946013, 1.3313458380495553, 12.877997412960164,,5.800, 12698926, 12508055, 1.1141798797006888, 85.45399694921824 ,,5.800, 12615926, 12576473, 1.1202743491453275, 76.60744163615766 ,,0.227, 16638487, 4256801, 0.37923758828331244, 16.96451636382414 ,,
5.900, 15757434, 15272903, 1.360464215037453, 14.238461627997617,,5.900, 11432779, 11263502, 1.0033188456053694, 86.4573157948236 ,,5.900, 12304387, 12266827, 1.092692015758578, 77.70013365191623 ,,0.230, 16116901, 4279627, 0.3812711522648457, 17.345787516088986 ,,
6.000, 16158736, 15700055, 1.3985136291129354, 15.636975257110553,,6.000, 10260719, 10111165, 0.9006721351428192, 87.35798792996643 ,,6.000, 11992364, 11956182, 1.0650206944596534, 78.7651543463759 ,,0.234, 15607247, 4298782, 0.38297766755733104, 17.728765183646317 ,,
6.100, 16664864, 16228293, 1.445567479715074, 17.082542736825626,,6.100, 9155943, 9024899, 0.8039108304313394, 88.16189876039776 ,,6.100, 11685334, 11651011, 1.0378369805994139, 79.8029913269753 ,,0.238, 15134056, 4326439, 0.3854416244064183, 18.114206808052735 ,,
6.200, 17151615, 16729997, 1.4902577614867287, 18.572800498312354,,6.200, 8191282, 8076552, 0.719434934988402, 88.88133369538616 ,,6.200, 11376049, 11343303, 1.0104272784176647, 80.81341860539297 ,,0.242, 14676047, 4345139, 0.38710760383578274, 18.501314411888515 ,,
6.300, 17559165, 17151453, 1.5277997930319316, 20.100600291344286,,6.300, 7399909, 7298989, 0.6501719640628899, 89.53150565944905 ,,6.300, 11059986, 11029304, 0.9824571928970832, 81.79587579829006 ,,0.246, 14254353, 4371511, 0.3894570802802319, 18.89077149216875 ,,
6.400, 17756949, 17372041, 1.5474491079176926, 21.64804939926198,,6.400, 6765718, 6675861, 0.5946655979589569, 90.126171257408 ,,6.400, 10742698, 10713124, 0.9542928304631345, 82.75016862875319 ,,0.250, 13862263, 4394442, 0.39149999869171614, 19.282271490860467 ,,
6.500, 17853834, 17497005, 1.5585805247916122, 23.20662992405359,,6.500, 6232438, 6150623, 0.547878978324311, 90.67405023573232 ,,6.500, 10424891, 10397177, 0.9261492229676611, 83.67631785172084 ,,0.254, 13475784, 4420885, 0.3938558005126083, 19.676127291373074 ,,
6.600, 17996826, 17663892, 1.5734463162822645, 24.780076240335855,,6.600, 5770996, 5697006, 0.507472141730597, 91.18152237746291 ,,6.600, 10100676, 10074358, 0.897393478402651, 84.5737113301235 ,,0.258, 13115752, 4445819, 0.3960771658116336, 20.072204457184707 ,,
6.700, 18168937, 17859408, 1.5908622928956995, 26.370938533231556,,6.700, 5360010, 5292119, 0.4714060268188563, 91.65292840428177 ,,6.700, 9782076, 9756998, 0.8691240051214886, 85.44283533524498 ,,0.262, 12782802, 4474769, 0.3986563157838315, 20.47086077296854 ,,
6.800, 18359070, 18069533, 1.609579595243835, 27.980518128475392,,6.800, 4997229, 4934929, 0.43958861705928226, 92.09251702134105 ,,6.800, 9467824, 9444319, 0.841271501226604, 86.2841068364716 ,,0.266, 12458683, 4499542, 0.4008633376235986, 20.871724110592137 ,,
6.900, 18524421, 18252084, 1.6258406886927557, 29.606358817168147,,6.900, 4673186, 4616300, 0.41120610507887034, 92.50372312641993 ,,6.900, 9146262, 9123496, 0.8126935543319658, 87.09680039080355 ,,0.270, 12155684, 4532611, 0.40380944851930195, 21.275533559111437 ,,
7.000, 18662521, 18407447, 1.6396799569602791, 31.246038774128426,,7.000, 4376011, 4321729, 0.3849666073037717, 92.8886897337237 ,,7.000, 8831985, 8810445, 0.784807913797112, 87.88160830460066 ,,0.273, 11864134, 4554146, 0.40572799755734273, 21.681261556668783 ,,
7.100, 18799243, 18561300, 1.6533847189741646, 32.89942349310259,,7.100, 4122270, 4072634, 0.3627779746879059, 93.25146770841161 ,,7.100, 8508515, 8488646, 0.7561430277610495, 88.63775133236172 ,,0.277, 11587052, 4584353, 0.4084191334195252, 22.089680690088308 ,,
